snr_db,symbol_id,I_clean,Q_clean,rx_I,rx_Q
0,0,-0.9486832980505138,-0.9486832980505138,-0.1506976314963654,-0.7685587887502958
0,0,-0.9486832980505138,-0.9486832980505138,-0.8467239560759291,-0.9036831274937577
0,0,-0.9486832980505138,-0.9486832980505138,-1.7372902171416584,0.22064615056993198
0,0,-0.9486832980505138,-0.9486832980505138,-0.0782019422379312,-0.8622227810165386
0,0,-0.9486832980505138,-0.9486832980505138,-1.0580431290834587,-0.3823286049953517
0,0,-0.9486832980505138,-0.9486832980505138,-1.3718068751191947,-0.2968080582438827
0,0,-0.9486832980505138,-0.9486832980505138,-0.7019085905567146,-0.946205864639703
0,0,-0.9486832980505138,-0.9486832980505138,-0.08559607668224944,-1.6639076582212926
0,0,-0.9486832980505138,-0.9486832980505138,-1.534669698319897,-1.5401231612607615
0,0,-0.9486832980505138,-0.9486832980505138,-1.7343210017529698,-0.8902797098431345
0,0,-0.9486832980505138,-0.9486832980505138,-1.3194126386870777,-0.9836316683193452
0,0,-0.9486832980505138,-0.9486832980505138,-1.721849601575302,-1.485049131050187
0,0,-0.9486832980505138,-0.9486832980505138,-2.1050399447209336,-0.9405505108701013
0,0,-0.9486832980505138,-0.9486832980505138,-2.140173115678565,-0.7995391201943519
0,0,-0.9486832980505138,-0.9486832980505138,-0.45913263460206055,-1.9461554959410592
0,0,-0.9486832980505138,-0.9486832980505138,-2.6376540657371845,-1.1368796269407493
0,0,-0.9486832980505138,-0.9486832980505138,-1.48213188453182,-1.4136440789591094
0,0,-0.9486832980505138,-0.9486832980505138,-1.6933764128281554,-0.13257977560660705
0,0,-0.9486832980505138,-0.9486832980505138,0.3124283261595826,-1.267554927692267
0,0,-0.9486832980505138,-0.9486832980505138,-0.6342587412720613,-1.7709437176656029
0,0,-0.9486832980505138,-0.9486832980505138,-0.8648071051136721,-0.29122457304737936
0,0,-0.9486832980505138,-0.9486832980505138,-0.5755501390905566,-1.3570960196164799
0,0,-0.9486832980505138,-0.9486832980505138,-2.150597799491278,-0.6867501776707718
0,0,-0.9486832980505138,-0.9486832980505138,-1.7585365907510693,-1.6782312190224649
0,0,-0.9486832980505138,-0.9486832980505138,-1.3619136052848357,-1.0754606251934542
0,0,-0.9486832980505138,-0.9486832980505138,-0.30713818849775676,-1.0541522837903925
0,0,-0.9486832980505138,-0.9486832980505138,-0.5707386612633222,-0.8550178038380933
0,0,-0.9486832980505138,-0.9486832980505138,-0.9122713084345951,-0.6552617359864301
0,0,-0.9486832980505138,-0.9486832980505138,-0.5370711008809745,-1.0548996247518196
0,0,-0.9486832980505138,-0.9486832980505138,-1.5202613917959105,-0.86031800564412
0,0,-0.9486832980505138,-0.9486832980505138,-1.009439348190626,-1.2628312287930767
0,0,-0.9486832980505138,-0.9486832980505138,-0.7282986591491516,-0.5097257383145857
0,0,-0.9486832980505138,-0.9486832980505138,-1.6784698981626045,-0.9967327261695016
0,0,-0.9486832980505138,-0.9486832980505138,-0.2806353473499259,-1.3387942783720308
0,0,-0.9486832980505138,-0.9486832980505138,-1.53282351616244,-1.396754215744003
0,0,-0.9486832980505138,-0.9486832980505138,-1.7003351437976377,-1.2156636362512612
0,0,-0.9486832980505138,-0.9486832980505138,-0.5199615058162403,0.1355707899464047
0,0,-0.9486832980505138,-0.9486832980505138,-1.0950548976100216,-0.4045690195074292
0,0,-0.9486832980505138,-0.9486832980505138,-1.4835933216131754,-1.051040783820996
0,0,-0.9486832980505138,-0.9486832980505138,-2.63591475606136,-1.8360573136608005
0,0,-0.9486832980505138,-0.9486832980505138,-0.33073548983471635,-2.257203540920538
0,0,-0.9486832980505138,-0.9486832980505138,-1.0281958908799984,-1.3339765378351573
0,0,-0.9486832980505138,-0.9486832980505138,-1.8454427547582315,-1.7302441593481739
0,0,-0.9486832980505138,-0.9486832980505138,-0.4582625936180298,-2.2733345842927717
0,0,-0.9486832980505138,-0.9486832980505138,-1.467066086242982,-1.3956525660165158
0,0,-0.9486832980505138,-0.9486832980505138,0.34211231799779585,-0.530145014321637
0,0,-0.9486832980505138,-0.9486832980505138,-1.3325326815737215,-1.4377151918256241
0,0,-0.9486832980505138,-0.9486832980505138,-1.2518023694440663,-0.9785139256259073
0,0,-0.9486832980505138,-0.9486832980505138,-0.030752630414899285,-0.6026930630957619
0,0,-0.9486832980505138,-0.9486832980505138,-1.0811357211382493,-1.1945833611744707
0,0,-0.9486832980505138,-0.9486832980505138,-2.0978463137711634,-0.7972353105533255
0,0,-0.9486832980505138,-0.9486832980505138,-0.8276273018499437,-2.1155138148446087
0,0,-0.9486832980505138,-0.9486832980505138,-0.24248095239967937,-0.6497828720867351
0,0,-0.9486832980505138,-0.9486832980505138,-1.4811853867544078,-0.21987038372163292
0,0,-0.9486832980505138,-0.9486832980505138,-1.0589701414411274,-1.484161649109295
0,0,-0.9486832980505138,-0.9486832980505138,-1.9056479109285531,0.1588738999088175
0,0,-0.9486832980505138,-0.9486832980505138,-1.3082036035372038,-1.2245745269325046
0,0,-0.9486832980505138,-0.9486832980505138,-1.4029579979852551,0.1139014766917632
0,0,-0.9486832980505138,-0.9486832980505138,-1.714316578684218,-1.2522614382367077
