snr_db,symbol_id,I_clean,Q_clean,rx_I,rx_Q,r,theta
0,0,-0.9486832980505138,-0.9486832980505138,-0.1506976314963654,-0.7685587887502958,0.7831937103322116,-1.7644181063720392
0,0,-0.9486832980505138,-0.9486832980505138,-0.8467239560759291,-0.9036831274937576,1.2383798499288377,-2.323665440068653
0,0,-0.9486832980505138,-0.9486832980505138,-1.7372902171416584,0.2206461505699319,1.7512458486281817,3.015263084739396
0,0,-0.9486832980505138,-0.9486832980505138,-0.0782019422379312,-0.8622227810165386,0.8657619002206546,-1.6612469188902224
0,0,-0.9486832980505138,-0.9486832980505138,-1.0580431290834589,-0.3823286049953517,1.1250024111967087,-2.7948385281391244
0,0,-0.9486832980505138,-0.9486832980505138,-1.3718068751191947,-0.2968080582438827,1.4035487615550784,-2.928514214244451
0,0,-0.9486832980505138,-0.9486832980505138,-0.7019085905567146,-0.946205864639703,1.1781261425568492,-2.209037663576836
0,0,-0.9486832980505138,-0.9486832980505138,-0.0855960766822494,-1.6639076582212926,1.6661078546813406,-1.6221938246372545
0,0,-0.9486832980505138,-0.9486832980505138,-1.534669698319897,-1.5401231612607615,2.174210301418224,-2.354420888694078
0,0,-0.9486832980505138,-0.9486832980505138,-1.7343210017529698,-0.8902797098431345,1.94947872491079,-2.66733767726975
0,0,-0.9486832980505138,-0.9486832980505138,-1.3194126386870777,-0.9836316683193452,1.645715944520164,-2.500973120523734
0,0,-0.9486832980505138,-0.9486832980505138,-1.721849601575302,-1.485049131050187,2.273793520106419,-2.4299016786473033
0,0,-0.9486832980505138,-0.9486832980505138,-2.1050399447209336,-0.9405505108701012,2.305608039621809,-2.721395643643691
0,0,-0.9486832980505138,-0.9486832980505138,-2.140173115678565,-0.7995391201943519,2.284645217488802,-2.7840620637617337
0,0,-0.9486832980505138,-0.9486832980505138,-0.4591326346020605,-1.9461554959410592,1.9995809537346116,-1.802477833293274
